date,Open,High,Low,Close,Volume,VIX_Close,RSI_14,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-06-12,3.701835198298818,3.7080464735024403,3.6171154421703386,3.632270574569702,358892000,15.90999984741211,41.04658542352843,0.13351670578029443,-0.2096096841055699,0.09028475402554459,-0.2998944381311145
2019-06-13,3.654382922813924,3.701835985556043,3.6367432765817465,3.6834511756896973,308080000,15.819999694824219,44.09971755933789,0.12854891843199773,-0.19005013890073963,0.08787543938429992,-0.27792557828503955
2019-06-14,3.590283338427657,3.614630873410024,3.5487930158718743,3.593513011932373,394428000,15.279999732971191,40.16339755330332,0.12902054046689412,-0.17973444972203279,0.07855290285040539,-0.2582873525724382
2019-06-17,3.5917737394775298,3.6402207353395446,3.5689167693943764,3.6032023429870605,276040000,15.350000381469727,40.77670972392674,0.12459048807952446,-0.16883116313353197,0.07156495155112497,-0.24039611468465694
2019-06-18,3.6645689299172894,3.8536357625554243,3.6536374159713,3.7982325553894043,581920000,15.149999618530273,51.54295695058603,0.13419841997504858,-0.14280673461034832,0.0780715040594469,-0.22087823866979522
2019-06-19,3.8335110029638035,3.8449393690890057,3.778107571024625,3.804194450378418,331644000,14.329999923706055,51.83123029217391,0.12908025410091767,-0.12031420514593405,0.08045122681908895,-0.200765431965023
2019-06-20,3.894878150514815,3.908791030842299,3.814133451125132,3.828543186187744,350168000,14.75,53.05944025523381,0.12722853017007302,-0.09937840165317446,0.08110962424947885,-0.1804880259026533
2019-06-21,3.8136361587022307,3.862828325873782,3.7639468999166295,3.770406484603882,434428000,15.399999618530273,49.79469857475292,0.1250935831395152,-0.08648087480766575,0.07520572087599006,-0.16168659568365581
2019-06-24,3.7917726233411475,3.8223314347522352,3.7445678782554253,3.7927663326263428,282948000,15.260000228881836,51.04239650014432,0.12154274561561254,-0.07360674624249652,0.07046387955292743,-0.14407062579542396
2019-06-25,3.797735003949655,3.872765497613719,3.760716611714565,3.7634494304656982,311868000,16.280000686645508,49.31199701005454,0.1208330393354638,-0.0650200252171591,0.06324048046261188,-0.128260505679771
2019-06-26,3.8909025161456934,4.017858241684351,3.8779833471463765,3.956740379333496,584072000,16.209999084472656,59.1459579133784,0.13078529689600343,-0.0421323472936983,0.06890252670885816,-0.11103487400255646
2019-06-27,4.042454023040567,4.074503399227054,4.006429335736305,4.055373191833496,445440000,15.819999694824219,63.08196978409273,0.1298180303052645,-0.015852120603879083,0.0761462027189419,-0.09199832332282099
2019-06-28,4.0993480457661455,4.10854068621403,4.033510183336779,4.0802178382873535,397668000,15.079999923706055,64.02223766988821,0.12576009332704263,0.006900360657727589,0.07911894718443886,-0.07221858652671127
2019-07-01,4.287420420704294,4.321705992505331,4.090900102637731,4.128415584564209,709756000,14.0600004196167,65.83989047247776,0.1343091463886292,0.028492576612322296,0.08056893051122685,-0.05207635389890456
2019-07-02,4.111770086156782,4.13288818594991,4.017361067786199,4.030528545379639,400228000,12.930000305175781,59.288542047177714,0.1329250638477377,0.0372762004980669,0.07148204351757717,-0.03420584301951027
2019-07-03,4.053883108606749,4.059597530499223,3.9835733051859,4.043448448181152,246636000,12.569999694824219,59.85631870119272,0.12874140420001876,0.04476380461496099,0.06317571810757701,-0.01841191349261602
2019-07-05,3.985063587903578,3.9895355169510505,3.917486138960805,3.980839967727661,396552000,13.279999732971191,55.79545599106511,0.12853749756352142,0.04512562359213579,0.050830029667801445,-0.005704406075665658
2019-07-08,3.9212126041796265,3.9400945021535914,3.8757472058921416,3.905808925628662,329788000,13.960000038146973,51.303382983498,0.12682065573243334,0.03890946560234232,0.03569109734240638,0.0032183682599359375
2019-07-09,3.8635732502768936,3.936367787172201,3.8509026274936953,3.9082934856414795,342860000,14.09000015258789,51.442793285117574,0.1237976648905849,0.033794042157203386,0.024460539117813956,0.009333503039389427
2019-07-10,3.9517715160104028,4.034006766119606,3.93785863796451,3.976616144180298,452076000,13.029999732971191,55.23775891038145,0.12393745861597669,0.034851355043371335,0.020414281603185525,0.01443707344018581
2019-07-11,4.049658964227611,4.1718942189385295,4.0123922569733725,4.1311492919921875,682560000,12.930000305175781,62.39632472152485,0.12913555952154218,0.04760999824068124,0.026538339840396344,0.021071658400284896
2019-07-12,4.158974394153869,4.235247380361121,4.158974394153869,4.164191722869873,506392000,12.390000343322754,63.73191677346599,0.1273138642314111,0.05969938556510446,0.030902181731855646,0.02879720383324881
2019-07-15,4.185310850156466,4.20145945794279,4.127423128501158,4.155745506286621,289840000,12.680000305175781,63.11482490903844,0.1234426064942643,0.06781702062956318,0.0312158534370515,0.036601167192511684
2019-07-16,4.140837992750941,4.178104694984818,4.095372360134823,4.151024341583252,341444000,12.859999656677246,62.74908541312553,0.12048815693788402,0.07302753045438859,0.02914109060950152,0.04388643984488707
2019-07-17,4.152763211915992,4.223321775418077,4.123446659043422,4.216365337371826,348204000,13.970000267028809,65.71064877630714,0.11899392476501232,0.08149000328085343,0.030082850748773086,0.05140715253208034
2019-07-18,4.226800107676858,4.2908988524978815,4.170154418749741,4.228042125701904,442192000,13.529999732971191,66.22738759365154,0.11912068405302301,0.0881229664928096,0.029372651168583397,0.0587503153242262
2019-07-19,4.266302857133655,4.272762203601938,4.1788498169516,4.184812545776367,344896000,14.449999809265137,62.47375533810128,0.11729707508722065,0.08886696871332767,0.024093322711281173,0.06477364600204649
2019-07-22,4.206178955774313,4.269283989209978,4.198725426267375,4.256364822387695,315940000,13.529999732971191,65.91708032211355,0.11492458204501009,0.09414502136548197,0.02349710029074839,0.07064792107473358
2019-07-23,4.295619430613244,4.366177519950848,4.279966971202306,4.364190101623535,428176000,12.609999656677246,70.33456850243337,0.11455543009086461,0.10580881684264476,0.028128716614328933,0.07768010022831583
2019-07-24,4.40742006610204,4.4444384617104316,4.331395856316386,4.438724040985107,366236000,12.069999694824219,72.94495620002961,0.11444626806789174,0.1196870470163578,0.03360555743043357,0.08608148958592422
2019-07-25,4.397232508595484,4.409903364702608,4.284189934257976,4.307543754577637,392700000,12.739999771118164,62.51797831955441,0.11733680850676359,0.11873182505139024,0.026120268372372815,0.09261155667901742
2019-07-26,4.3346264915523784,4.396240742334675,4.3346264915523784,4.3495330810546875,274160000,12.15999984741211,64.27813885497947,0.11527312563617215,0.11997993844394284,0.02189470541194033,0.0980852330320025
2019-07-29,4.342327137380465,4.359469923833802,4.255122878283953,4.343320846557617,248160000,12.829999923706055,63.80077575284355,0.11448632544095394,0.11909494945037569,0.016807773134698542,0.10228717631567714
2019-07-30,4.296861698157642,4.371146793513117,4.282451729768207,4.358973026275635,197772000,13.9399995803833,64.51581851289804,0.11263014707459733,0.11829298153320256,0.01280464417402033,0.10548833735918223
2019-07-31,4.327419157601356,4.3284133404388365,4.149532458191544,4.191768169403076,359416000,16.1200008392334,52.56969606101112,0.11959375750136035,0.10297831174463568,-0.002008020491637244,0.10498633223627292
